"key","message","comment","context"
"Account","Compte comptable",,
"Accounting","Comptabilité",,
"Accounts","Comptes comptables",,
"All invoice lines of invoice %d must have an account in order to be ventilated","Toutes les lignes de la facture %d doivent contenir un compte comptable afin de pouvoir être validée",,
"Code",,,
"Configuration",,,
"Contact",,,
"Credit","Crédit",,
"Debit","Débit",,
"Invoice",,,
"Invoice %d must have a contact in order to be ventilated","La facture %d doit avoir un contact afin de pouvoir être validée",,
"Invoice %d must have an account in order to be ventilated","La facture %d doit avoir un compte comptable afin de pouvoir être validée",,
"Invoices",,,
"Move","Écriture",,
"Move lines","Ligne d'écritures",,
"MoveLine type %d unknown",,,
"Moves","Écritures",,
"Name",,,
"Operation date","Date de l'opération",,
"Please fill the invoice lines before ventilating the invoice %d","Veuillez saisir des lignes de factures avant de ventiler la facture %d",,
"Seq.",,,
"Type",,,
"Ventilate","Ventiler",,
