"key","message","comment","context"
"Actions",,,
"Contact",,,
"Description",,,
"Details",,,
"Draft","Brouillon",,
"Forecast date","Date de facturation",,
"Invoice","Facture",,
"Invoice date","Date de facturation",,
"Invoice late","Facturer les commandes en retard",,
"Invoice line list","Lignes de facture",,
"Invoiced","Facturée",,
"Invoices","Factures",,
"Overview",,,
"Price","Prix",,
"Product",,,
"Quantity",,,
"Sale order",,,
"Sale orders",,,
"Secondary informations","Informations secondaires",,
"Seq",,,
"Status","Statut",,
"There's no sale orders to invoice","Il n'y a pas de commande à facturer",,
"To invoice","Facturer",,
"Total",,,
"Total (in tax)",,,
"Totals",,,
"VAT",,,
"Validate","Valider",,
"Validated","Validée",,
