"key","message","comment","context"
"Actions",,,
"Cancel","Annuler",,
"Canceled","Annulée",,
"Confirmation date","Date de confirmation",,
"Contact",,,
"Dates",,,
"Description",,,
"Details",,,
"Draft","Brouillon",,
"Image",,,
"My sale orders","Mes commandes de vente",,
"Name",,,
"Order date","Date de commande",,
"Overview",,,
"Price","Prix",,
"Product","Produit",,
"Products","Produits",,
"Quantity","Quantité",,
"Sale","Vente",,
"Sale order","Commande de vente",,
"Sale order line","Ligne de commande de vente",,
"Sale order line list",,,
"Sale order lines","Lignes de commande de vente",,
"Sale orders","Commandes de vente",,
"Status","Statut",,
"The sale order must contain at least one detail's line in order to be validated","La commande de vente doit contenir au moins une ligne de détail afin d'être validée",,
"Total",,,
"Total (in tax)","Total (TTC)",,
"Totals","Totaux",,
"VAT","TVA",,
"Validate","Valider",,
"Validated","Validée",,
